Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Sandra Srdoč,F,SBD,Raw,,,40-49,Masters 1,66.8,69,110,115,120,,120,55,57.5,60,,60,120,130,140,,140,320,2,332.37,329.06,290.33,67.53,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lukas Prendivoj,M,SBD,Raw,17.5,18-19,14-18,Sub-Juniors,82.1,83,210,222.5,-227.5,,222.5,142.5,-148,-148,,142.5,150,,,,150,515,2,349.82,346.01,333.00,71.68,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dejan Rodiger,M,SBD,Raw,51,50-54,50-59,Masters 2,113.5,120,207.5,221,-225.5,,221,130,135,140.5,,140.5,215,230.5,-238.5,,230.5,592,1,346.60,345.21,330.29,70.53,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Rino Župa,M,SBD,Raw,,24-34,24-39,Open,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Patrik Roso,M,B,Raw,21.5,20-23,19-23,Juniors,91.7,93,,,,,,130,135,-145,,135,,,,,,135,4,86.48,85.38,81.77,64.49,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dino Višnjić,M,B,Raw,,24-34,24-39,Disabled,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Puškić,M,SBD,Raw,28,24-34,24-39,Open,102.5,105,220,232.5,-240,,232.5,132.5,140,-145,,140,250,260,265,,265,637.5,7,388.29,384.28,366.94,79.60,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ante Perković,M,B,Raw,25,24-34,24-39,Open,102.7,105,,,,,,152.5,-160,-170,,152.5,,,,,,152.5,4,92.81,91.86,87.71,68.99,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Šime Mandić,M,B,Raw,,24-34,24-39,Open,81.6,83,,,,,,125,132.5,137.5,,137.5,,,,,,137.5,1,93.73,92.72,89.26,69.67,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matej Martinović,M,SBD,Raw,35,35-39,24-39,Open,96.3,105,170,180,187.5,,187.5,-105,110,115,,115,200,215,-220,,215,517.5,14,323.92,319.96,305.86,66.57,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Žugaj,M,SBD,Raw,26,24-34,24-39,Open,113.6,120,175,-200,-205,,175,105,125,-155,,125,205,215,220,,220,520,8,304.35,303.15,290.06,61.93,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Sandra Anić,F,SBD,Raw,,,40-49,Masters 1,53.2,57,70,75,80,,80,47.5,50,52.5,,52.5,90,97.5,-102.5,,97.5,230,1,275.97,281.70,249.50,56.97,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Alen Kurtović,M,SBD,Raw,26,24-34,24-39,Open,80.8,83,197.5,210,-217.5,,210,97.5,105,107.5,,107.5,247.5,265,-282.5,,265,582.5,6,399.33,395.20,380.62,81.74,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Krunoslav Dropučić,M,SBD,Raw,,,,Open,91.6,93,220,-235,-235,,220,135,142.5,-147.5,,142.5,250,262.5,272.5,,272.5,635,4,407.01,401.83,384.83,83.69,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marin Štambuk,M,SBD,Raw,,,,Open,108.9,120,252.5,267.5,280,,280,160,170,175,,175,250,267.5,-275,,267.5,722.5,3,429.55,426.52,407.53,87.71,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Josip Torić,M,B,Raw,,,,Open,117.9,120,,,,,,172.5,180,185,,185,,,,,,185,2,106.88,106.81,102.32,78.64,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mario Lesjak,M,B,Raw,44,40-44,40-49,Open,118.5,120,,,,,,180,185,190,,190,,,,,,190,1,109.58,109.56,104.97,80.59,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Darijo Marković,M,B,Raw,46,45-49,40-49,Masters 1,103.9,105,,,,,,135,140,145,,145,,,,,,145,1,87.82,86.97,83.04,65.24,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Zoran Lovrić,M,B,Raw,54,50-54,50-59,Masters 2,90.6,93,,,,,,130,135,140,,140,,,,,,140,1,90.22,89.08,85.35,67.28,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ivan Schoblocher,M,B,Raw,36,35-39,24-39,Open,102.2,105,,,,,,180,187.5,-205,,187.5,,,,,,187.5,2,114.34,113.15,108.04,85.02,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Domagoj Rajevskij,M,B,Raw,23,20-23,19-23,Juniors,102.5,105,,,,,,130,140,-145,,140,,,,,,140,2,85.27,84.39,80.58,63.39,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mate Maleš,M,SBD,Raw,41,40-44,40-49,Masters 1,87.9,93,190,200,207.5,,207.5,127.5,135,140,,140,242.5,255,-264,,255,602.5,1,394.31,389.39,373.58,81.04,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Noel Piskač,M,SBD,Raw,17,16-17,14-18,Sub-Juniors,79.4,83,175,190,200,,200,112.5,120,125,,125,235,252.5,265,,265,590,1,408.65,404.72,390.09,83.53,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrija Juginović,M,SBD,Raw,18,18-19,14-18,Sub-Juniors,123,120+,190,205,-215,,205,132.5,140,-151,,140,235,-255,260.5,,260.5,605.5,1,344.94,346.20,331.64,69.64,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrija Juginović,M,B,Raw,18,18-19,14-18,Sub-Juniors,116.2,120,,,,,,132.5,140,-145,,140,,,,,,140,1,81.29,81.13,77.68,59.89,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Petar Rendulić,M,SBD,Raw,19,18-19,19-23,Juniors,82.7,83,217.5,230,240,,240,130,135,137.5,,137.5,265,282.5,300,,300,677.5,1,458.31,453.21,436.02,93.96,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Leon Piskač,M,SBD,Raw,23,20-23,19-23,Juniors,93,93,250,265,272.5,,272.5,175,185.5,188,,188,270,285,-300,,285,745.5,1,474.33,468.32,448.23,97.53,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dorian Mutak,M,SBD,Raw,18,18-19,14-18,Sub-Juniors,92.8,93,245,265,275.5,,275.5,167.5,175,179,,179,260,280,-290.5,,280,734.5,1,467.81,461.88,442.10,96.19,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Anamarija Mamić,F,B,Raw,16,16-17,14-18,Sub-Juniors,58.4,63,,,,,,70.5,75,78,,78,,,,,,78,1,87.97,88.81,78.50,68.20,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Anamarija Mamić,F,SBD,Raw,16,16-17,14-18,Sub-Juniors,57.6,63,111.5,-119,119.5,,119.5,71.5,76,,,76,136.5,144,-150.5,,144,339.5,1,386.32,390.74,345.44,79.02,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Karla Baličevac,F,SBD,Raw,22.5,20-23,19-23,Juniors,66.8,69,135,145,-152.5,,145,72.5,77.5,-82.5,,77.5,165,175,-185,,175,397.5,1,412.86,408.76,360.64,83.89,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Tamara Mijatović,F,SBD,Raw,24,24-34,24-39,Open,62.7,63,125,130,132.5,,132.5,-87.5,-87.5,-87.5,,,140,150,-152.5,,150,,DQ,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Barbara Uršanić,F,B,Raw,32.5,24-34,24-39,Open,61,63,,,,,,57.5,62.5,-65,,62.5,,,,,,62.5,2,68.57,68.80,60.77,53.14,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Barbara Uršanić,F,SBD,Raw,32.5,24-34,24-39,Open,61.5,63,100,115,125,,125,57.5,60,-62.5,,60,120,,,,120,305,7,332.92,333.63,294.69,67.79,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Suzana Gašparović,F,SBD,Raw,37.5,35-39,24-39,Open,55.6,57,115,122.5,127.5,,127.5,-60,62.5,65,,65,125,135,145,,145,337.5,2,393.07,399.34,353.29,80.68,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matej Šalić,M,SBD,Raw,26,24-34,24-39,Open,103.7,105,255,275,285,,285,162.5,170,172.5,,172.5,305,-322.5,322.5,,322.5,780,2,472.80,468.17,447.03,96.86,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matea Kucljak,F,SBD,Raw,22,20-23,19-23,Juniors,53.5,57,90,95,100,,100,50,55,-60,,55,95,105,112.5,,112.5,267.5,1,319.73,326.19,288.86,65.95,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Barižon,M,SBD,Raw,23.5,24-34,24-39,Open,91.3,93,195,-207.5,-207.5,,195,110,117.5,122.5,,122.5,75,,,,75,392.5,13,251.98,248.78,238.28,51.81,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Goran Šimić,M,B,Raw,41,40-44,40-49,Open,104.4,105,,,,,,195,205,210,,210,,,,,,210,1,126.94,125.74,120.07,94.28,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ana Jozinović,F,SBD,Raw,20,20-23,19-23,Juniors,72.8,76,100,,,,100,-90,95.5,100,,100,100,,,,100,300,4,296.89,290.68,255.96,60.41,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Laura Vulić,F,SBD,Raw,21.5,20-23,19-23,Open,70.3,76,145,150,155,,155,82.5,87.5,90,,90,145,157.5,162.5,,162.5,407.5,2,411.10,404.21,356.27,83.56,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Tara Baće,F,SBD,Raw,23,20-23,19-23,Open,80.5,84,175,182.5,190,,190,97.5,102.5,105,,105,170,182.5,201,,201,496,1,465.91,452.28,396.50,95.31,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Benšić,M,SBD,Raw,19,18-19,19-23,Open,81.4,83,232.5,240,242.5,,242.5,137.5,145,-150,,145,280,295,300,,300,687.5,2,469.29,464.32,447.04,96.11,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Karlo Jurić,M,B,Raw,19,18-19,19-23,Juniors,91.1,93,,,,,,127.5,135,142.5,,142.5,,,,,,142.5,1,91.58,90.42,86.61,68.30,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Nikola Zgrebec,M,SBD,Raw,19,18-19,19-23,Open,93,93,235,252.5,267.5,,267.5,145,152.5,157.5,,157.5,247.5,260,270,,270,695,3,442.19,436.59,417.86,90.92,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Gabriel Friščić,M,SBD,Raw,22,20-23,19-23,Juniors,82.3,83,232.5,-242.5,-242.5,,232.5,147.5,157.5,-165,,157.5,242.5,-255,-260,,242.5,632.5,2,429.04,424.33,408.34,87.93,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Gabriel Višek,M,SBD,Raw,23,20-23,19-23,Open,90.1,93,235,-247.5,-252.5,,235,150,155,160,,160,270,290,312.5,,312.5,707.5,2,457.21,451.41,432.61,94.01,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Melisa Matulin,F,SBD,Raw,20,20-23,19-23,Open,58.8,63,120,130,135,,135,85,90.5,95.5,,95.5,130,142.5,150,,150,380.5,2,427.25,430.93,380.85,87.24,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Melisa Matulin,F,B,Raw,20,20-23,19-23,Juniors,58.9,63,,,,,,65,72.5,77.5,,77.5,,,,,,77.5,1,86.93,87.65,77.47,67.38,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Leonardo Blažeković,M,SBD,Raw,26,24-34,24-39,Open,92.8,93,275,287.5,-293,,287.5,155,165,170,,170,302.5,-317.5,317.5,,317.5,775,1,493.61,487.35,466.48,101.49,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrej Švenda,M,SBD,Raw,28,24-34,24-39,Open,118.4,120,267.5,-280,-280,,267.5,-170,175,-182.5,,175,285,300,-312.5,,300,742.5,2,428.35,428.24,410.29,86.82,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Tin Valinčić,M,SBD,Raw,31.5,24-34,24-39,Open,119.2,120,272.5,285,-287.5,,285,167.5,177.5,-180,,177.5,295,310,322.5,,322.5,785,1,451.84,452.02,433.12,91.52,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lea Žunić,F,SBD,Raw,26,24-34,24-39,Open,62.1,63,132.5,137.5,142.5,,142.5,77.5,80,-82.5,,80,175,182.5,-187.5,,182.5,405,1,439.44,439.74,388.36,89.44,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jelena Ivančić,F,SBD,Raw,32,24-34,24-39,Open,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Teuta Jakupović,F,SBD,Raw,36.5,35-39,24-39,Open,54.9,57,145,152.5,155,,155,85,88.5,90,,90,160,170,175,,175,420,1,493.31,501.92,444.16,101.41,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Branimira Novšak,F,SBD,Raw,43,40-44,40-49,Masters 1,68.7,69,120,128,135,,135,65.5,68,70,,70,132.5,141,150,,150,355,1,362.82,357.81,315.54,73.73,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Ana Marinković,F,SBD,Raw,44.5,40-44,40-49,Masters 1,51.9,52,105,110,112.5,,112.5,45,47.5,-50,,47.5,115,122.5,-127.5,,122.5,282.5,1,344.80,352.70,312.66,71.45,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Hrgarek,M,SBD,Raw,22,20-23,19-23,Open,103.6,105,260,272.5,-280,,272.5,165,172.5,175,,175,305,315,320,,320,767.5,3,465.41,460.83,440.02,95.35,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Babić,M,SBD,Raw,22.5,20-23,19-23,Open,73.1,74,190,202.5,210,,210,117.5,125,-130,,125,220,235,-250,,235,570,3,415.80,413.61,400.09,84.22,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Marko Kuzmić,M,SBD,Raw,25,24-34,24-39,Open,82.7,83,232.5,247.5,252.5,,252.5,150,157.5,162.5,,162.5,-250,272.5,-287.5,,272.5,687.5,3,465.07,459.89,442.46,95.34,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lukša Zlošilo,M,SBD,Raw,24.5,24-34,24-39,Open,82.9,83,230,240,247.5,,247.5,167.5,175,180,,180,-225,240,-262.5,,240,667.5,4,450.93,445.87,428.92,92.46,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Maja Ileš,F,B,Raw,54,50-54,50-59,Masters 2,100,84+,,,,,,80,-85,-85,,80,,,,,,80,1,68.27,66.61,57.22,57.77,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Gordan Klasić,M,SBD,Raw,29,24-34,24-39,Open,102,105,265,275,280,,280,-192.5,192.5,-197.5,,192.5,305,325,-340.5,,325,797.5,1,486.74,481.62,459.90,99.81,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Walter Smajlović,M,B,Raw,,,,Open,89.9,93,,,,,,165,175,185,,185,,,,,,185,1,119.69,118.17,113.26,89.25,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matea Bumba,F,SBD,Raw,26,24-34,24-39,Open,67.7,69,152.5,160,165,,165,90,95,-96,,95,182.5,195,-201,,195,455,1,468.94,463.40,408.76,95.28,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Matea Bumba,F,B,Raw,26,24-34,24-39,Open,67.7,69,,,,,,90,95,-97.5,,95,,,,,,95,1,97.91,96.75,85.35,76.41,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Goran Karamarković,M,B,Raw,46,45-49,40-49,Open,72.2,74,,,,,,-157.5,157.5,-170,,157.5,,,,,,157.5,1,115.84,115.32,111.61,85.10,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Hrvoje Sirovec,M,B,Raw,,,,Open,123.1,120+,,,,,,-200,-200,-200,,,,,,,,,DQ,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Srđan Radojčić,M,B,Raw,35,35-39,24-39,Open,89.9,93,,,,,,140,147.5,155,,155,,,,,,155,2,100.28,99.01,94.89,74.78,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
