Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Adis Jakić,M,SBD,Raw,,,40-49,Masters 1,92.5,93,170,185,200,,200,130,141,-151,,141,200,220,240,,240,581,2,370.62,365.92,350.30,76.21,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Arian Vukelić,M,SBD,Raw,,18-19,14-18,Sub-Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Bartol Ban,M,SBD,Raw,19,18-19,19-23,Juniors,98.3,105,162.5,175,182.5,,182.5,110,117.5,122.5,,122.5,220,235,245,,245,550,5,341.09,337.08,322.05,70.05,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
David Smoljan,M,SBD,Raw,17,16-17,14-18,Sub-Juniors,90.6,93,200,210,217.5,,217.5,-117.5,122.5,127.5,,127.5,232.5,250,262.5,,262.5,607.5,2,391.50,386.53,370.34,80.50,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Andrija Adamović,M,SBD,Raw,21,20-23,19-23,Juniors,91.9,93,-220,-230,-235,,,120,125,127.5,,127.5,275,282.5,-287.5,,282.5,,DQ,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Mateo Fijala,M,B,Raw,22,20-23,19-23,Juniors,81.9,83,,,,,,115,-120,-120,,115,,,,,,115,3,78.22,77.38,74.48,58.16,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Noa Miš Mešić,M,SBD,Raw,22,20-23,19-23,Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Borna Krog,M,SBD,Raw,,,,Open,73.7,74,205,217.5,-231.5,,217.5,107.5,115,117.5,,117.5,240,260,262.5,,262.5,597.5,1,433.53,431.03,416.79,87.90,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Kečkeš,M,SBD,Raw,21,20-23,19-23,Open,82.8,83,222.5,235,245,,245,-155,160,167.5,,167.5,-290,290,-307.5,,290,702.5,1,474.89,469.59,451.76,97.36,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Daria Bunja,F,SBD,Raw,28,24-34,24-39,Open,79.2,84,120,127.5,-135,,127.5,55,-57.5,57.5,,57.5,135,145,-147.5,,145,330,4,312.51,303.66,266.45,63.86,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
