Place,Club,Points
1,Gumeni Medvjedići,403.19
2,Virovitica,376.54
3,Štanga,374.29
4,Galacticos,357.24
5,Bjelowbar,356.39
6,Samo Mišići,216.46
7,Power Crew,203.49
8,Nabildani Mozak,111.12
9,Pozoj,84.4
10,Rebel Warrior,84.39
11,Taz,83.55
