Place,Club,Points
1,Gumeni Medvjedići,458.2
2,Štanga,442.6
3,Galacticos,418.84
4,Bjelowbar,387.66
5,Nabildani Mozak,381.59
6,Taz,377.45
7,Liftaonica,337.35
8,Virovitica,271.53
9,Rebel Warrior,182.63
10,Osijek 031,157.83
11,Behemot,96.69
12,Ultimate,92.5
13,Adamas,82.49
14,Šibenik,81.94
15,Power Crew,74.79
16,Depth Dominators,70.44
17,Belišće,68.61
18,Pozoj,68.09
19,Samo Mišići,66.9
