Place,Club,Points
1,Galacticos,404.27
2,Nabildani Mozak,358.03
3,Ultimate,190.44
4,Rebel Warrior,114.22
5,Pozoj,76.89
6,Taz,70.32
7,Body Art,68.53
8,Adamas,51.77
9,Štanga,50.57
10,Depth Dominators,50.3
11,Virovitica,46.14
